image,class_id,species,breed_id
havanese_61,17,2,11
havanese_56,17,2,11
Birman_82,7,1,3
scottish_terrier_31,31,2,21
Bengal_56,6,1,2
scottish_terrier_140,31,2,21
scottish_terrier_175,31,2,21
samoyed_87,30,2,20
newfoundland_126,23,2,16
german_shorthaired_183,15,2,9
newfoundland_169,23,2,16
pomeranian_35,25,2,17
Bombay_119,8,1,4
Birman_46,7,1,3
scottish_terrier_196,31,2,21
american_bulldog_193,2,2,1
newfoundland_137,23,2,16
beagle_71,5,2,4
Maine_Coon_80,21,1,7
wheaten_terrier_34,36,2,24
chihuahua_183,11,2,6
keeshond_72,19,2,13
samoyed_63,30,2,20
wheaten_terrier_39,36,2,24
american_bulldog_144,2,2,1
samoyed_100,30,2,20
Siamese_162,33,1,11
keeshond_38,19,2,13
Birman_3,7,1,3
Bombay_170,8,1,4
pug_10,26,2,18
Bengal_112,6,1,2
Birman_183,7,1,3
Ragdoll_80,27,1,9
chihuahua_54,11,2,6
Persian_11,24,1,8
shiba_inu_101,32,2,22
Sphynx_132,34,1,12
shiba_inu_11,32,2,22
keeshond_16,19,2,13
american_bulldog_150,2,2,1
pomeranian_83,25,2,17
leonberger_77,20,2,14
Egyptian_Mau_136,12,1,6
Persian_115,24,1,8
Russian_Blue_142,28,1,10
keeshond_99,19,2,13
english_setter_144,14,2,8
Birman_188,7,1,3
Siamese_233,33,1,11
wheaten_terrier_23,36,2,24
boxer_186,9,2,5
american_pit_bull_terrier_8,3,2,2
samoyed_47,30,2,20
american_pit_bull_terrier_94,3,2,2
pug_118,26,2,18
shiba_inu_72,32,2,22
Russian_Blue_62,28,1,10
chihuahua_22,11,2,6
Russian_Blue_169,28,1,10
english_cocker_spaniel_31,13,2,7
keeshond_156,19,2,13
basset_hound_165,4,2,3
Persian_95,24,1,8
pug_114,26,2,18
Bengal_147,6,1,2
Bombay_14,8,1,4
Egyptian_Mau_194,12,1,6
shiba_inu_49,32,2,22
havanese_120,17,2,11
Bengal_100,6,1,2
havanese_29,17,2,11
Bombay_19,8,1,4
german_shorthaired_114,15,2,9
keeshond_126,19,2,13
Ragdoll_163,27,1,9
pug_157,26,2,18
Birman_87,7,1,3
samoyed_70,30,2,20
havanese_50,17,2,11
yorkshire_terrier_39,37,2,25
boxer_99,9,2,5
Abyssinian_104,1,1,1
great_pyrenees_186,16,2,10
boxer_162,9,2,5
american_bulldog_105,2,2,1
german_shorthaired_102,15,2,9
Birman_68,7,1,3
samoyed_13,30,2,20
Sphynx_1,34,1,12
saint_bernard_189,29,2,19
japanese_chin_165,18,2,12
yorkshire_terrier_61,37,2,25
chihuahua_173,11,2,6
samoyed_101,30,2,20
japanese_chin_163,18,2,12
beagle_157,5,2,4
Bombay_178,8,1,4
staffordshire_bull_terrier_96,35,2,23
english_cocker_spaniel_109,13,2,7
Ragdoll_202,27,1,9
german_shorthaired_171,15,2,9
Sphynx_197,34,1,12
Siamese_183,33,1,11
yorkshire_terrier_52,37,2,25
miniature_pinscher_43,22,2,15
Sphynx_182,34,1,12
beagle_110,5,2,4
miniature_pinscher_85,22,2,15
