epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.5646,1.38354,2.42773,1.69245,0.79195,0.74907,0.8368,0.57309,1.04993,0.93952,1.36501,0.0701948,0.00331169,0.00331169
2,139.939,1.21541,1.02908,1.48007,0.79002,0.71084,0.77882,0.48289,1.30026,1.00063,1.52587,0.0395369,0.00598716,0.00598716
3,207.054,1.26868,1.04195,1.50325,0.74539,0.69076,0.755,0.49258,1.20909,1.01944,1.48901,0.00821909,0.00800264,0.00800264
4,274.469,1.33063,1.10886,1.54082,0.77036,0.6747,0.74102,0.44176,1.33746,1.18483,1.55999,0.00703,0.00703,0.00703
5,341.641,1.28874,1.00411,1.50786,0.80137,0.72289,0.79684,0.52996,1.17504,0.98798,1.46159,0.00604,0.00604,0.00604
6,408.678,1.19882,0.85188,1.4371,0.88391,0.73391,0.84697,0.56085,1.19667,0.85283,1.44935,0.00505,0.00505,0.00505
7,475.74,1.11916,0.76577,1.36509,0.87867,0.84739,0.89154,0.59609,1.15461,0.76928,1.38659,0.00406,0.00406,0.00406
8,542.834,1.0362,0.65977,1.30935,0.86592,0.85141,0.92429,0.66662,0.96628,0.61854,1.27286,0.00307,0.00307,0.00307
9,609.994,0.95423,0.57342,1.23636,0.92713,0.85141,0.94603,0.68727,0.91642,0.56171,1.26143,0.00208,0.00208,0.00208
10,677.155,0.87413,0.50778,1.17543,0.8678,0.93976,0.96092,0.7206,0.87121,0.50954,1.20469,0.00109,0.00109,0.00109
