epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.20493,1.57236,2.55459,1.91102,0.00333,1,0.29409,0.11769,1.54104,3.32099,1.94539,0.00054,0.00054,0.00054
2,6.42005,1.50283,2.38739,1.86154,0.65009,0.08824,0.27536,0.11273,1.51205,3.24848,2.02566,0.00104555,0.00104555,0.00104555
3,10.0754,1.57191,2.23978,1.89843,0.27783,0.32353,0.26538,0.08902,1.91473,3.08408,2.4414,0.00149566,0.00149566,0.00149566
4,15.4443,1.56072,2.06626,1.89133,0.45308,0.31696,0.34604,0.12923,1.57509,4.50427,2.15483,0.001703,0.001703,0.001703
5,19.3697,1.5818,2.01554,1.88345,0.16997,0.38235,0.18052,0.10148,1.65737,4.21117,2.17585,0.001604,0.001604,0.001604
6,22.1992,1.44587,1.84088,1.74761,0.33311,0.5,0.3387,0.15598,1.92102,5.31218,2.48779,0.001505,0.001505,0.001505
7,25.2005,1.48203,1.82577,1.76137,0.37026,0.52941,0.41074,0.21456,1.53836,2.15447,1.94893,0.001406,0.001406,0.001406
8,28.0701,1.46728,1.71939,1.75652,0.41855,0.6775,0.58405,0.31875,1.37762,2.06092,1.73476,0.001307,0.001307,0.001307
9,31.2877,1.40595,1.68908,1.70267,0.86623,0.61765,0.76433,0.46539,1.31454,2.30752,1.63607,0.001208,0.001208,0.001208
10,34.3443,1.47452,1.68191,1.75461,0.90125,0.80551,0.89523,0.51429,1.27202,1.60284,1.64036,0.001109,0.001109,0.001109
11,37.928,1.43171,1.79235,1.90237,0.79218,0.85294,0.87509,0.48577,1.39614,1.7693,1.73907,0.00101,0.00101,0.00101
12,40.7578,1.35679,1.73608,1.89793,0.85941,0.89913,0.94324,0.56618,1.19921,1.39557,1.60701,0.000911,0.000911,0.000911
13,43.752,1.22391,1.47448,1.80442,0.96795,0.82353,0.9622,0.6198,1.031,1.18764,1.37036,0.000812,0.000812,0.000812
14,46.6165,1.18096,1.38045,1.69075,0.93668,0.87036,0.92604,0.62028,1.0056,1.15444,1.41317,0.000713,0.000713,0.000713
15,49.4613,1.17394,1.33862,1.74168,0.96238,0.91176,0.97845,0.69221,0.98537,0.92181,1.35211,0.000614,0.000614,0.000614
16,52.3413,1.103,1.24687,1.62506,0.99467,0.88235,0.97794,0.72721,0.91859,0.90365,1.27849,0.000515,0.000515,0.000515
17,55.2007,1.01372,1.15536,1.5349,1,0.86824,0.98166,0.76378,0.83639,0.88588,1.21399,0.000416,0.000416,0.000416
18,58.0709,1.00819,1.12751,1.52196,0.96493,0.88235,0.94385,0.73498,0.85666,0.98274,1.23123,0.000317,0.000317,0.000317
19,60.9663,1.01354,1.08354,1.54803,0.93595,0.85978,0.93791,0.73757,0.82472,0.90025,1.17702,0.000218,0.000218,0.000218
20,63.7983,0.97168,1.09172,1.48775,0.95861,0.88235,0.95377,0.76007,0.79164,0.84283,1.15686,0.000119,0.000119,0.000119
