epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.2877,1.44113,2.18232,1.61195,0.68754,0.5502,0.62647,0.35276,1.4433,1.79313,1.71528,0.000665579,0.000665579,0.000665579
2,105.814,1.5942,1.92179,1.72231,0.70785,0.65196,0.74112,0.40253,1.47873,1.41867,1.65382,0.0012663,0.0012663,0.0012663
3,154.532,1.62516,1.81001,1.74908,0.71714,0.67068,0.71867,0.41984,1.3909,1.45337,1.67715,0.00180102,0.00180102,0.00180102
4,202.88,1.57592,1.73761,1.72206,0.68812,0.64659,0.69462,0.3387,1.65264,1.52503,1.80706,0.001703,0.001703,0.001703
5,250.914,1.51509,1.59741,1.67021,0.76296,0.76268,0.80809,0.49341,1.32428,1.22122,1.56329,0.001604,0.001604,0.001604
6,299.46,1.44367,1.46278,1.60815,0.75146,0.765,0.78147,0.50363,1.22296,1.24309,1.51985,0.001505,0.001505,0.001505
7,348.047,1.38832,1.3694,1.55658,0.85407,0.75213,0.86753,0.5635,1.26413,1.00136,1.50535,0.001406,0.001406,0.001406
8,396.537,1.355,1.28762,1.53822,0.86844,0.83133,0.86441,0.5701,1.20742,0.94015,1.48674,0.001307,0.001307,0.001307
9,444.884,1.31317,1.22967,1.50145,0.84616,0.80321,0.8487,0.60286,1.101,0.92921,1.39092,0.001208,0.001208,0.001208
10,493.135,1.27253,1.18834,1.48216,0.8582,0.7992,0.88445,0.62533,1.10194,0.86931,1.37227,0.001109,0.001109,0.001109
11,541.767,1.19885,0.94977,1.46371,0.86315,0.86345,0.8996,0.61458,1.13015,0.87019,1.38509,0.00101,0.00101,0.00101
12,590.04,1.16566,0.91215,1.42283,0.91906,0.82085,0.90386,0.64623,1.07072,0.78873,1.35404,0.000911,0.000911,0.000911
13,638.388,1.14407,0.83388,1.41374,0.86054,0.83936,0.90731,0.62214,1.15543,0.81795,1.40736,0.000812,0.000812,0.000812
14,686.674,1.08569,0.79756,1.37666,0.87632,0.88209,0.92753,0.64241,1.12405,0.76453,1.36893,0.000713,0.000713,0.000713
15,734.802,1.05585,0.7305,1.33234,0.93107,0.85944,0.93991,0.67645,1.03947,0.69556,1.3544,0.000614,0.000614,0.000614
16,783.375,1.02163,0.696,1.32882,0.90117,0.87884,0.9459,0.6622,1.06781,0.6943,1.36972,0.000515,0.000515,0.000515
17,831.463,0.9816,0.64559,1.28338,0.92078,0.87952,0.94681,0.6721,1.01948,0.68696,1.34725,0.000416,0.000416,0.000416
18,879.75,0.94355,0.61158,1.25675,0.9299,0.85245,0.95274,0.69209,0.98805,0.63994,1.30626,0.000317,0.000317,0.000317
19,928.385,0.90116,0.57695,1.22396,0.94765,0.86747,0.95938,0.69466,0.99839,0.61814,1.33103,0.000218,0.000218,0.000218
20,977.115,0.8878,0.56067,1.22136,0.9127,0.91566,0.96561,0.70024,0.98605,0.58862,1.32499,0.000119,0.000119,0.000119
