epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.5979,1.4391,2.20014,1.64623,0.79587,0.595,0.70249,0.40211,1.41691,1.57962,1.62827,0.000665579,0.000665579,0.000665579
2,96.6664,1.57206,1.91856,1.72967,0.77668,0.61455,0.68943,0.34534,1.7183,1.62931,1.99384,0.00130587,0.00130587,0.00130587
3,142.261,1.5818,1.78619,1.73606,0.75422,0.61619,0.69766,0.39562,1.47753,1.60021,1.70535,0.00191976,0.00191976,0.00191976
4,187.162,1.58467,1.71355,1.7366,0.66063,0.60643,0.65154,0.4022,1.3879,1.42043,1.62903,0.0018812,0.0018812,0.0018812
5,232.046,1.5209,1.61773,1.68306,0.79195,0.65735,0.7707,0.46243,1.42354,1.20874,1.63354,0.0018416,0.0018416,0.0018416
6,277.135,1.45984,1.48718,1.62787,0.81076,0.7751,0.81749,0.50026,1.37251,1.16969,1.59749,0.001802,0.001802,0.001802
7,322.483,1.44455,1.43359,1.60677,0.78856,0.79383,0.80605,0.48231,1.42014,1.16971,1.61452,0.0017624,0.0017624,0.0017624
8,367.447,1.37448,1.32764,1.5536,0.85122,0.73525,0.83953,0.53889,1.26522,1.0297,1.51894,0.0017228,0.0017228,0.0017228
9,412.644,1.35753,1.27925,1.55257,0.82817,0.73556,0.83241,0.57061,1.15995,0.99533,1.43697,0.0016832,0.0016832,0.0016832
10,457.929,1.33474,1.25865,1.52724,0.82314,0.82241,0.86692,0.59353,1.17695,0.95235,1.46783,0.0016436,0.0016436,0.0016436
11,503.412,1.30051,1.20225,1.50367,0.84195,0.82731,0.86344,0.548,1.21952,1.01484,1.49589,0.001604,0.001604,0.001604
12,548.376,1.26155,1.16411,1.47157,0.84121,0.80845,0.88255,0.58151,1.10052,0.91483,1.41774,0.0015644,0.0015644,0.0015644
13,593.557,1.25797,1.116,1.47086,0.90958,0.75502,0.90397,0.62701,1.10541,0.8455,1.42853,0.0015248,0.0015248,0.0015248
14,638.952,1.23722,1.10002,1.44952,0.84338,0.84337,0.89648,0.63724,1.05755,0.80351,1.36184,0.0014852,0.0014852,0.0014852
15,684.497,1.24603,1.11948,1.461,0.87428,0.83534,0.86257,0.61938,1.03152,0.9126,1.35767,0.0014456,0.0014456,0.0014456
16,730.094,1.21881,1.04431,1.42752,0.89728,0.84194,0.89688,0.64636,1.06188,0.79901,1.35067,0.001406,0.001406,0.001406
17,774.98,1.19634,1.03608,1.41495,0.894,0.83534,0.91815,0.64524,1.04993,0.78959,1.3575,0.0013664,0.0013664,0.0013664
18,820.088,1.15913,0.98102,1.38804,0.88745,0.82331,0.89385,0.64102,1.07273,0.81908,1.36608,0.0013268,0.0013268,0.0013268
19,865.288,1.15874,0.96853,1.38375,0.92677,0.83534,0.93257,0.66452,1.02613,0.74187,1.33446,0.0012872,0.0012872,0.0012872
20,911.466,1.14033,0.97428,1.37421,0.88235,0.84334,0.90584,0.65172,1.03471,0.83375,1.35255,0.0012476,0.0012476,0.0012476
