epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.5952,1.51796,1.93623,1.69358,0.68275,0.52209,0.61945,0.32712,1.64472,1.63043,1.83754,0.000665579,0.000665579,0.000665579
2,97.7542,1.70722,1.88489,1.85912,0.67876,0.55422,0.58294,0.31447,1.70531,1.82452,1.91711,0.00130587,0.00130587,0.00130587
3,144.632,1.66977,1.85016,1.82138,0.71318,0.61847,0.66451,0.36282,1.61077,1.64445,1.88299,0.00191976,0.00191976,0.00191976
4,192.236,1.64864,1.76946,1.80911,0.68676,0.65156,0.67063,0.37861,1.43871,1.48168,1.69991,0.0018812,0.0018812,0.0018812
5,239.95,1.58007,1.65331,1.74375,0.71415,0.72242,0.74747,0.44261,1.43035,1.27506,1.64556,0.0018416,0.0018416,0.0018416
6,287.362,1.49376,1.53534,1.69204,0.82531,0.75893,0.80724,0.49173,1.36998,1.21149,1.64344,0.001802,0.001802,0.001802
7,334.638,1.4585,1.44011,1.64732,0.85607,0.76439,0.84216,0.48749,1.47352,1.09314,1.65717,0.0017624,0.0017624,0.0017624
8,380.822,1.40713,1.33195,1.60264,0.8282,0.74699,0.81338,0.51723,1.31978,1.06328,1.58144,0.0017228,0.0017228,0.0017228
9,428.399,1.36712,1.2904,1.57206,0.84906,0.76809,0.85396,0.55539,1.24078,0.92044,1.50447,0.0016832,0.0016832,0.0016832
10,475.802,1.36795,1.26308,1.56508,0.81547,0.85944,0.86824,0.5874,1.20006,0.91905,1.50675,0.0016436,0.0016436,0.0016436
11,522.072,1.31874,1.21568,1.53389,0.89361,0.78313,0.85397,0.5817,1.17968,0.93243,1.48542,0.001604,0.001604,0.001604
12,568.172,1.27312,1.18766,1.50568,0.8697,0.80416,0.8605,0.58152,1.13856,0.87511,1.46062,0.0015644,0.0015644,0.0015644
13,614.708,1.26461,1.11387,1.50191,0.87385,0.8068,0.88932,0.60812,1.18484,0.8616,1.49537,0.0015248,0.0015248,0.0015248
14,661.974,1.24251,1.09229,1.47868,0.87628,0.85333,0.89213,0.61141,1.14612,0.80704,1.44618,0.0014852,0.0014852,0.0014852
15,709.351,1.25559,1.09259,1.4867,0.85278,0.86076,0.86234,0.61453,1.07809,0.85103,1.40726,0.0014456,0.0014456,0.0014456
16,755.211,1.20792,1.03228,1.45033,0.87139,0.85944,0.886,0.61655,1.10616,0.81469,1.4347,0.001406,0.001406,0.001406
