epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.37939,1.19388,4.65351,1.45209,0.15102,0.27273,0.08126,0.0292,1.35055,7.47999,1.73902,0.099003,3e-06,3e-06
2,1.98988,1.04852,4.46852,1.577,0.12573,0.36364,0.08475,0.02818,1.38692,7.42279,1.77671,0.097009,8.97e-06,8.97e-06
3,2.58782,1.33701,4.8453,1.63462,0.34785,0.27273,0.11993,0.04624,1.43407,5.01968,2.01422,0.0950149,1.49e-05,1.49e-05
4,3.43572,1.32341,2.64828,1.64304,0.28865,0.44327,0.17963,0.09914,1.26018,3.61016,1.66386,0.0930208,2.079e-05,2.079e-05
5,4.2776,1.19875,2.68865,1.3275,0.11383,0.18182,0.07805,0.04893,1.47592,4.20177,1.88085,0.0910266,2.664e-05,2.664e-05
6,5.04462,0.80929,1.86957,1.35347,0.18186,0.27273,0.07986,0.04557,1.54775,4.30527,1.94398,0.0890325,3.245e-05,3.245e-05
7,5.78782,0.82455,1.74457,1.36097,0.14578,0.27273,0.07627,0.04266,1.51159,3.92164,1.85558,0.0870382,3.822e-05,3.822e-05
8,6.54765,1.13473,2.32929,1.34908,0.22874,0.18182,0.13276,0.09555,1.60388,3.68515,1.94043,0.085044,4.395e-05,4.395e-05
9,7.32285,1.26014,2.0166,1.36433,0.33429,0.36364,0.29691,0.187,1.59058,3.31015,1.95919,0.0830496,4.964e-05,4.964e-05
10,8.12647,1.14159,2.59073,1.58037,0.71079,0.44787,0.4499,0.24053,1.61348,2.93019,1.97648,0.0810553,5.529e-05,5.529e-05
11,8.94921,1.19443,1.73483,1.38014,0.90321,0.27273,0.36152,0.19054,1.50472,2.96,1.97338,0.0790609,6.09e-05,6.09e-05
12,9.71137,1.03744,1.37753,1.35615,0.90321,0.27273,0.36152,0.19054,1.50472,2.96,1.97338,0.0770665,6.647e-05,6.647e-05
13,10.5117,1.05104,1.61454,1.54004,0.46909,0.27273,0.30989,0.18215,1.37936,2.83419,1.87519,0.075072,7.2e-05,7.2e-05
14,11.2644,1.20946,1.49961,1.43011,0.32334,0.36364,0.22071,0.10797,1.30982,2.6451,1.8191,0.0730775,7.749e-05,7.749e-05
15,12.0052,1.1361,1.33103,1.39854,0.32334,0.36364,0.22071,0.10797,1.30982,2.6451,1.8191,0.0710829,8.294e-05,8.294e-05
16,12.7337,1.02068,1.2447,1.38641,0.34563,0.36364,0.29432,0.20542,1.266,2.46598,1.78856,0.0690884,8.835e-05,8.835e-05
17,13.4728,0.77113,1.22796,1.25848,0.29019,0.63636,0.3434,0.23105,1.26879,2.21319,1.70683,0.0670937,9.372e-05,9.372e-05
18,14.1886,1.02606,0.96555,1.35082,0.29019,0.63636,0.3434,0.23105,1.26879,2.21319,1.70683,0.0650991,9.905e-05,9.905e-05
19,14.9373,1.04623,1.30031,1.42203,0.66759,0.63636,0.63692,0.45891,1.25539,1.6777,1.71829,0.0631043,0.00010434,0.00010434
20,15.731,1.03182,1.42784,1.57906,0.66759,0.63636,0.63692,0.45891,1.25539,1.6777,1.71829,0.0611096,0.00010959,0.00010959
21,16.5379,1.10545,1.44316,1.32933,0.82244,0.63636,0.71416,0.48137,1.16257,1.46384,1.63749,0.0591148,0.0001148,0.0001148
22,17.325,0.98961,1.2067,1.23453,0.82244,0.63636,0.71416,0.48137,1.16257,1.46384,1.63749,0.05712,0.00011997,0.00011997
23,18.121,0.87162,1.03749,1.25198,0.96664,0.72727,0.75929,0.49924,1.09894,1.36612,1.59193,0.0551251,0.0001251,0.0001251
24,18.887,0.86236,1.32057,1.42094,0.96664,0.72727,0.75929,0.49924,1.09894,1.36612,1.59193,0.0531302,0.00013019,0.00013019
25,19.7155,0.9052,0.90287,1.0919,1,0.71685,0.78246,0.53005,1.07972,1.25678,1.57942,0.0511352,0.00013524,0.00013524
26,20.7626,1.25097,1.93557,1.62956,1,0.71685,0.78246,0.53005,1.07972,1.25678,1.57942,0.0491403,0.00014025,0.00014025
27,21.5281,0.89286,1.07054,1.20973,1,0.71685,0.78246,0.53005,1.07972,1.25678,1.57942,0.0471452,0.00014522,0.00014522
28,22.3285,0.9323,1.04498,1.24957,0.9937,0.72727,0.8488,0.58474,1.10086,1.1828,1.54393,0.0451501,0.00015015,0.00015015
29,23.1017,0.84064,1.42269,1.3624,0.9937,0.72727,0.8488,0.58474,1.10086,1.1828,1.54393,0.043155,0.00015504,0.00015504
30,23.9342,0.68033,0.90317,1.15301,0.71147,0.90909,0.86726,0.63259,1.01073,0.98516,1.43321,0.0411599,0.00015989,0.00015989
31,24.7075,0.72843,0.99099,1.17401,0.71147,0.90909,0.86726,0.63259,1.01073,0.98516,1.43321,0.0391647,0.0001647,0.0001647
