epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.5827,1.38498,1.8282,1.58258,0.50959,0.49799,0.49816,0.24551,1.70148,3.91578,2.09731,0.000662338,0.000662338,0.000662338
2,39.5257,1.55648,1.62306,1.7077,0.6635,0.57806,0.59364,0.31729,1.71869,1.6015,2.0082,0.00128515,0.00128515,0.00128515
3,59.4439,1.57155,1.58214,1.69839,0.71809,0.57831,0.62404,0.361,1.6183,1.62525,1.90313,0.00186396,0.00186396,0.00186396
4,79.2404,1.54267,1.53108,1.67982,0.64289,0.55823,0.57382,0.32762,1.55121,1.64169,1.83365,0.001802,0.001802,0.001802
5,97.7085,1.46508,1.44075,1.61418,0.80376,0.71486,0.83057,0.52751,1.24973,1.01497,1.53566,0.001736,0.001736,0.001736
6,117.806,1.40582,1.31003,1.55989,0.73296,0.73092,0.76093,0.47471,1.27843,1.06549,1.56237,0.00167,0.00167,0.00167
7,136.132,1.32411,1.18456,1.4975,0.90056,0.81526,0.90297,0.55074,1.27179,0.90665,1.50527,0.001604,0.001604,0.001604
8,155.981,1.31002,1.15595,1.49579,0.8432,0.79905,0.8748,0.57217,1.10223,0.91556,1.39912,0.001538,0.001538,0.001538
9,175.659,1.25544,1.07005,1.44112,0.86348,0.83133,0.89926,0.59221,1.13629,0.82088,1.44741,0.001472,0.001472,0.001472
10,195.558,1.24359,1.0487,1.44493,0.89974,0.74699,0.8624,0.61692,1.08124,0.79787,1.38092,0.001406,0.001406,0.001406
11,214.96,1.18841,0.97134,1.39911,0.84997,0.83534,0.88959,0.58559,1.19283,0.79227,1.46555,0.00134,0.00134,0.00134
12,233.167,1.17218,0.94987,1.40855,0.87618,0.85254,0.91678,0.60191,1.18645,0.77595,1.45042,0.001274,0.001274,0.001274
13,251.223,1.15647,0.94574,1.38337,0.91377,0.79116,0.91872,0.65837,1.02417,0.72159,1.35213,0.001208,0.001208,0.001208
14,271.121,1.12563,0.87781,1.36142,0.88714,0.86747,0.93112,0.62201,1.18159,0.72281,1.49108,0.001142,0.001142,0.001142
15,289.424,1.11439,0.85503,1.34646,0.87091,0.84337,0.92854,0.64314,1.08174,0.67046,1.35699,0.001076,0.001076,0.001076
16,307.887,1.06261,0.81131,1.31467,0.88619,0.87562,0.94326,0.69484,0.95007,0.61961,1.27528,0.00101,0.00101,0.00101
17,327.542,1.01641,0.76988,1.28099,0.92353,0.87952,0.94359,0.68652,0.9176,0.58236,1.26578,0.000944,0.000944,0.000944
18,346.024,1.01373,0.74753,1.27666,0.9128,0.87952,0.94914,0.6911,0.93297,0.62075,1.26642,0.000878,0.000878,0.000878
19,364.465,0.98646,0.7452,1.26642,0.94476,0.89299,0.96988,0.69012,0.99726,0.57758,1.30855,0.000812,0.000812,0.000812
20,382.731,0.95565,0.70394,1.2491,0.95336,0.9031,0.96682,0.69331,0.93635,0.53386,1.28569,0.000746,0.000746,0.000746
21,404.405,0.87814,0.56824,1.21227,0.96318,0.89157,0.96775,0.72345,0.89792,0.52532,1.25569,0.00068,0.00068,0.00068
22,424.048,0.82774,0.50768,1.16566,0.96568,0.90414,0.97332,0.71863,0.93011,0.5177,1.29501,0.000614,0.000614,0.000614
23,441.869,0.81754,0.48824,1.15874,0.95805,0.90361,0.97353,0.73019,0.91101,0.49069,1.28321,0.000548,0.000548,0.000548
24,461.555,0.76089,0.46376,1.12517,0.92704,0.91165,0.95075,0.7255,0.89594,0.52789,1.2612,0.000482,0.000482,0.000482
25,479.722,0.75458,0.45004,1.1271,0.93098,0.92369,0.96327,0.74432,0.84317,0.5058,1.22948,0.000416,0.000416,0.000416
26,499.014,0.71334,0.4169,1.09262,0.93461,0.92771,0.96961,0.73638,0.90218,0.49058,1.29307,0.00035,0.00035,0.00035
27,517.266,0.69245,0.40471,1.07922,0.97496,0.91968,0.97726,0.76072,0.86092,0.46066,1.23623,0.000284,0.000284,0.000284
28,536.713,0.64775,0.37783,1.04836,0.92921,0.94894,0.9786,0.76081,0.84378,0.44233,1.24677,0.000218,0.000218,0.000218
29,556.255,0.62984,0.3594,1.03966,0.97493,0.91968,0.98243,0.7603,0.83856,0.44494,1.25377,0.000152,0.000152,0.000152
30,574.353,0.60707,0.34875,1.02455,0.97065,0.9297,0.98409,0.76224,0.83396,0.42529,1.2574,8.6e-05,8.6e-05,8.6e-05
