epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.4219,1.49951,1.8107,1.63474,0.63577,0.66596,0.67933,0.36021,1.54577,1.4585,1.72092,0.000665579,0.000665579,0.000665579
2,104.206,1.66294,1.78686,1.76993,0.65095,0.47933,0.56133,0.26024,1.63551,1.675,1.84351,0.0012663,0.0012663,0.0012663
3,154.943,1.66169,1.77811,1.76184,0.72898,0.63454,0.66356,0.34376,1.61882,1.57925,1.70958,0.00180102,0.00180102,0.00180102
4,205.639,1.61104,1.70895,1.71377,0.71611,0.66667,0.70634,0.37304,1.56046,1.3597,1.66041,0.001703,0.001703,0.001703
5,257.453,1.53127,1.54109,1.64941,0.75843,0.7439,0.79535,0.48615,1.3757,1.24381,1.56659,0.001604,0.001604,0.001604
6,309.103,1.48118,1.44215,1.60014,0.8318,0.81426,0.84754,0.52311,1.28568,1.0785,1.49698,0.001505,0.001505,0.001505
7,361.199,1.4204,1.35906,1.56146,0.83631,0.7992,0.84223,0.49445,1.39606,1.08636,1.52893,0.001406,0.001406,0.001406
8,410.06,1.38443,1.27056,1.54088,0.78034,0.79518,0.80626,0.49893,1.28161,1.09665,1.4749,0.001307,0.001307,0.001307
9,460.028,1.32653,1.17941,1.49118,0.8316,0.79518,0.83814,0.58844,1.12556,0.96613,1.37783,0.001208,0.001208,0.001208
10,511.604,1.28172,1.15393,1.46804,0.87516,0.80723,0.86304,0.58142,1.14679,0.92279,1.35922,0.001109,0.001109,0.001109
11,562.169,1.22085,0.92143,1.43639,0.85018,0.80321,0.85097,0.58188,1.16708,0.90343,1.39864,0.00101,0.00101,0.00101
12,612.725,1.18567,0.86345,1.42029,0.86385,0.7992,0.86783,0.60841,1.13535,0.85986,1.35919,0.000911,0.000911,0.000911
13,665.425,1.13302,0.79017,1.36004,0.82705,0.84337,0.85021,0.59323,1.09446,0.84833,1.3644,0.000812,0.000812,0.000812
14,715.923,1.09016,0.75955,1.34023,0.8814,0.82731,0.87022,0.59702,1.11104,0.79764,1.35467,0.000713,0.000713,0.000713
15,766.861,1.03965,0.68428,1.29847,0.88122,0.86402,0.89777,0.6417,1.07239,0.72749,1.32013,0.000614,0.000614,0.000614
16,819.092,0.99384,0.64437,1.27258,0.8892,0.86747,0.90959,0.64393,1.09801,0.72028,1.33684,0.000515,0.000515,0.000515
17,870.809,0.97512,0.61214,1.2501,0.90854,0.86345,0.90709,0.65242,1.03321,0.69637,1.28287,0.000416,0.000416,0.000416
18,922.272,0.93091,0.56438,1.22064,0.91721,0.85141,0.91281,0.67785,0.98778,0.67721,1.25662,0.000317,0.000317,0.000317
19,973.403,0.8866,0.5368,1.1811,0.87585,0.90763,0.93887,0.69685,0.97384,0.63854,1.24591,0.000218,0.000218,0.000218
20,1024.49,0.86352,0.50743,1.17337,0.90178,0.86747,0.91606,0.69275,0.97129,0.64282,1.24463,0.000119,0.000119,0.000119
