epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.663,1.42733,1.57963,1.46858,0.70117,0.62194,0.66627,0.38614,1.45184,1.42421,1.59471,0.000662338,0.000662338,0.000662338
2,32.9598,1.53162,1.40848,1.52279,0.73717,0.63052,0.64713,0.37373,1.48762,1.58133,1.57122,0.00126322,0.00126322,0.00126322
3,48.1106,1.52859,1.37709,1.52757,0.62276,0.61446,0.61721,0.3619,1.51898,1.39517,1.65554,0.0017981,0.0017981,0.0017981
4,63.1123,1.52239,1.36585,1.52076,0.6894,0.54217,0.59411,0.35655,1.48195,1.3941,1.58874,0.001703,0.001703,0.001703
5,78.0947,1.45374,1.26822,1.458,0.70663,0.73519,0.75787,0.4694,1.36675,1.03329,1.49416,0.001604,0.001604,0.001604
6,94.5849,1.39951,1.1694,1.42644,0.77706,0.74699,0.76926,0.45252,1.30686,1.02909,1.40821,0.001505,0.001505,0.001505
7,109.419,1.33463,1.08801,1.37596,0.79441,0.7992,0.8239,0.49954,1.28833,0.95541,1.4094,0.001406,0.001406,0.001406
8,125.628,1.29812,1.05288,1.36429,0.83352,0.80431,0.84703,0.52667,1.16933,0.83416,1.30996,0.001307,0.001307,0.001307
9,141.88,1.23635,0.96877,1.32765,0.80476,0.81115,0.85378,0.55227,1.21464,0.82237,1.35208,0.001208,0.001208,0.001208
10,158.188,1.20952,0.9178,1.3076,0.88178,0.80883,0.86843,0.5654,1.14137,0.77739,1.27849,0.001109,0.001109,0.001109
11,175.896,1.12896,0.78561,1.26495,0.86186,0.751,0.84402,0.55999,1.11307,0.79703,1.2992,0.00101,0.00101,0.00101
12,190.822,1.1058,0.73093,1.25071,0.86729,0.81928,0.88015,0.58747,1.1178,0.7234,1.28045,0.000911,0.000911,0.000911
13,207.441,1.03524,0.66221,1.18824,0.88042,0.84337,0.89492,0.62255,1.0839,0.68731,1.30709,0.000812,0.000812,0.000812
