epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.3303,1.33731,1.87454,1.53337,0.8913,0.79031,0.89368,0.6595,0.90453,0.74194,1.16013,0.0703896,0.00329004,0.00329004
2,84.7826,1.16403,0.989,1.35002,0.90952,0.76704,0.88033,0.65059,0.89493,0.71978,1.12774,0.0400618,0.00629552,0.00629552
3,126.853,1.16117,0.98601,1.3324,0.69837,0.61446,0.6898,0.42865,1.28439,1.24074,1.44386,0.0094039,0.008971,0.008971
4,168.926,1.28856,1.11701,1.40809,0.77437,0.73092,0.75313,0.45969,1.27726,1.26647,1.4007,0.008515,0.008515,0.008515
5,210.895,1.29527,1.06207,1.38154,0.65295,0.59036,0.62649,0.34989,1.48267,1.76839,1.58738,0.00802,0.00802,0.00802
6,252.961,1.26493,1.06104,1.37773,0.82585,0.73494,0.83007,0.47712,1.38458,1.0122,1.49193,0.007525,0.007525,0.007525
7,297.802,1.21158,0.97039,1.33589,0.87879,0.75706,0.83982,0.54128,1.21788,0.88976,1.36893,0.00703,0.00703,0.00703
8,339.86,1.2021,0.94721,1.32669,0.88045,0.76903,0.85583,0.59057,1.12059,0.79753,1.26978,0.006535,0.006535,0.006535
9,381.94,1.15132,0.89614,1.28759,0.84052,0.78313,0.83175,0.58232,1.09073,0.78171,1.27497,0.00604,0.00604,0.00604
10,424.07,1.12584,0.86787,1.28211,0.87713,0.80272,0.88103,0.60872,1.07317,0.75994,1.27345,0.005545,0.005545,0.005545
11,468.881,1.06687,0.71801,1.25978,0.87497,0.77108,0.84537,0.58239,1.11646,0.8048,1.28519,0.00505,0.00505,0.00505
12,510.904,0.99365,0.66298,1.2104,0.87008,0.76305,0.86383,0.5676,1.20512,0.83363,1.35109,0.004555,0.004555,0.004555
13,552.778,0.95772,0.61897,1.18135,0.88685,0.85141,0.91015,0.64912,1.03991,0.66935,1.23168,0.00406,0.00406,0.00406
14,594.748,0.92099,0.58298,1.16235,0.82781,0.83534,0.87461,0.63545,1.01643,0.74973,1.23587,0.003565,0.003565,0.003565
15,636.726,0.86923,0.51911,1.11652,0.91562,0.87156,0.92194,0.65546,0.97359,0.59178,1.20385,0.00307,0.00307,0.00307
16,678.665,0.81112,0.48077,1.08831,0.90894,0.88191,0.93711,0.69665,0.91704,0.56627,1.16311,0.002575,0.002575,0.002575
17,720.671,0.76204,0.4454,1.05792,0.92949,0.86345,0.9316,0.70006,0.95543,0.53806,1.19939,0.00208,0.00208,0.00208
18,762.738,0.70807,0.40923,1.02543,0.91912,0.89558,0.92611,0.71367,0.86359,0.53647,1.13409,0.001585,0.001585,0.001585
19,804.761,0.66539,0.37545,0.99936,0.92644,0.91048,0.9486,0.74843,0.85614,0.48358,1.14356,0.00109,0.00109,0.00109
20,846.824,0.62904,0.34367,0.98676,0.91828,0.90257,0.9382,0.7562,0.83018,0.49797,1.13614,0.000595,0.000595,0.000595
