epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.8731,1.24563,2.02221,1.70758,0.5101,0.53883,0.47373,0.1874,1.88961,2.47463,2.5504,0.000659259,0.000659259,0.000659259
2,19.1896,1.32811,1.6877,1.74441,0.6487,0.52945,0.53257,0.2051,1.87361,2.22831,2.61218,0.00126029,0.00126029,0.00126029
3,28.9822,1.41938,1.68706,1.80902,0.79852,0.64336,0.66766,0.31708,1.70953,1.60937,2.93934,0.00179533,0.00179533,0.00179533
4,37.8913,1.40284,1.64346,1.81031,0.60427,0.66434,0.66147,0.30484,1.70083,1.69087,2.47973,0.001703,0.001703,0.001703
5,47.267,1.37391,1.55362,1.76678,0.68,0.6993,0.66794,0.33281,1.57576,1.57274,2.32778,0.001604,0.001604,0.001604
6,56.3633,1.34049,1.47876,1.7538,0.64859,0.5808,0.65317,0.26839,1.97663,1.59877,2.45676,0.001505,0.001505,0.001505
7,65.1897,1.27332,1.42488,1.70158,0.84658,0.62937,0.74047,0.36385,1.63116,1.44528,2.30087,0.001406,0.001406,0.001406
8,74.0703,1.30486,1.43084,1.71193,0.86081,0.81818,0.87056,0.52042,1.37948,1.10425,2.02322,0.001307,0.001307,0.001307
9,82.9542,1.24412,1.30992,1.63857,0.84581,0.76719,0.83961,0.45045,1.47606,1.24892,2.06151,0.001208,0.001208,0.001208
10,91.5302,1.21659,1.27784,1.63517,0.80296,0.83916,0.87714,0.53993,1.24584,1.1494,1.83037,0.001109,0.001109,0.001109
11,100.92,1.26898,1.36431,1.88442,0.71654,0.8042,0.81418,0.51558,1.33774,1.28318,1.91161,0.00101,0.00101,0.00101
12,109.677,1.17748,1.15878,1.79767,0.83404,0.80833,0.86421,0.55794,1.20263,1.24768,1.75834,0.000911,0.000911,0.000911
13,118.486,1.10046,1.06617,1.72568,0.89353,0.8803,0.92016,0.63044,1.1348,0.89583,1.68814,0.000812,0.000812,0.000812
14,127.544,1.04147,0.94486,1.67492,0.94299,0.92542,0.94917,0.6411,1.15675,0.786,1.72338,0.000713,0.000713,0.000713
15,136.338,0.99681,0.89872,1.64609,0.91252,0.94827,0.96666,0.67998,1.01547,0.69663,1.58399,0.000614,0.000614,0.000614
16,145.156,0.9736,0.85419,1.61216,0.91267,0.95005,0.94749,0.67045,1.05426,0.72401,1.63487,0.000515,0.000515,0.000515
17,154.011,0.95122,0.81133,1.56708,0.95748,0.94472,0.97149,0.73222,0.91715,0.65798,1.46703,0.000416,0.000416,0.000416
18,162.636,0.88973,0.75063,1.52922,0.96421,0.94195,0.97218,0.74508,0.88172,0.62276,1.42192,0.000317,0.000317,0.000317
19,171.336,0.844,0.7159,1.47407,0.97133,0.94762,0.97254,0.75279,0.83068,0.60068,1.37671,0.000218,0.000218,0.000218
20,180.074,0.81547,0.66391,1.44058,0.97834,0.93706,0.97731,0.76169,0.82096,0.58005,1.35649,0.000119,0.000119,0.000119
