epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.08095,1.82604,3.08375,1.54388,0.87325,0.24752,0.29298,0.15589,1.53858,3.23266,1.36187,0.000657005,0.000657005,0.000657005
2,13.1507,1.75792,2.25037,1.45267,0.82432,0.51106,0.69812,0.40965,1.49562,2.044,1.34745,0.00125815,0.00125815,0.00125815
3,19.1283,1.69208,1.96246,1.43723,0.77671,0.61386,0.68329,0.37123,1.55175,1.69416,1.44768,0.00179329,0.00179329,0.00179329
4,25.0492,1.66924,1.81886,1.41537,0.94309,0.72277,0.80121,0.44972,1.57857,1.35036,1.40112,0.001703,0.001703,0.001703
5,31.0029,1.57139,1.60993,1.37943,0.88186,0.80198,0.87092,0.54153,1.39559,1.24508,1.32076,0.001604,0.001604,0.001604
6,36.9479,1.55025,1.47639,1.3841,0.87441,0.75829,0.86951,0.5118,1.30089,1.17255,1.24387,0.001505,0.001505,0.001505
7,42.8504,1.54235,1.40322,1.34805,0.94761,0.84158,0.90892,0.52429,1.35456,1.13934,1.29549,0.001406,0.001406,0.001406
8,48.7033,1.48385,1.33183,1.32626,0.94099,0.80198,0.92573,0.56366,1.35895,0.92652,1.28886,0.001307,0.001307,0.001307
9,54.6805,1.50939,1.23988,1.33524,0.93578,0.86568,0.93055,0.56638,1.40832,0.87937,1.2955,0.001208,0.001208,0.001208
10,60.6419,1.44766,1.15759,1.312,0.9744,0.88119,0.94367,0.56889,1.30753,0.81936,1.22036,0.001109,0.001109,0.001109
11,67.07,1.3951,1.06562,1.28289,0.93612,0.90099,0.94305,0.57896,1.29734,0.88891,1.24673,0.00101,0.00101,0.00101
12,72.9687,1.36252,0.97453,1.25284,0.97739,0.85593,0.94167,0.60319,1.24141,0.7862,1.20288,0.000911,0.000911,0.000911
