epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.36094,1.07499,3.23246,1.50993,0.24853,0.25,0.14718,0.08158,1.41442,5.95499,1.91084,0.099003,3e-06,3e-06
2,1.93366,1.3775,4.22594,1.62915,0.24971,0.25,0.14687,0.08147,1.40567,5.98307,1.88959,0.097009,8.97e-06,8.97e-06
3,2.48267,1.12219,3.42368,1.45573,0.24462,0.4375,0.1652,0.08939,1.47983,5.03817,2.0851,0.0950149,1.49e-05,1.49e-05
4,3.2845,1.33595,2.26984,1.59326,0.44358,0.375,0.28067,0.14415,1.42254,2.67952,1.81664,0.0930208,2.079e-05,2.079e-05
5,4.05724,1.15133,1.81349,1.56036,0.39172,0.375,0.26636,0.14584,1.42507,2.65181,1.82707,0.0910266,2.664e-05,2.664e-05
6,4.84336,1.28973,2.22778,1.59939,0.28664,0.375,0.30578,0.1936,1.30457,2.55167,1.67379,0.0890325,3.245e-05,3.245e-05
7,5.61773,1.08128,1.78121,1.41523,0.41091,0.34988,0.32242,0.13857,1.35472,3.27303,1.69565,0.0870382,3.822e-05,3.822e-05
8,6.34027,1.15625,1.57704,1.41536,0.42307,0.125,0.15286,0.08661,1.65843,4.33547,1.90402,0.085044,4.395e-05,4.395e-05
9,7.05663,1.05629,1.68014,1.5094,0.05792,0.1875,0.04845,0.0236,1.75891,3.72244,2.04535,0.0830496,4.964e-05,4.964e-05
10,7.77496,1.11042,1.64155,1.43149,0.0474,0.336,0.04016,0.01572,1.78881,3.34601,2.14512,0.0810553,5.529e-05,5.529e-05
11,8.49528,0.78053,1.09281,1.2053,0.07205,0.6875,0.06864,0.02495,1.75903,2.906,2.04822,0.0790609,6.09e-05,6.09e-05
12,9.19115,0.98383,1.2577,1.35724,0.07205,0.6875,0.06864,0.02495,1.75903,2.906,2.04822,0.0770665,6.647e-05,6.647e-05
13,9.90607,1.12136,1.26949,1.43099,0.15375,0.5,0.12327,0.04873,1.8389,2.596,2.09542,0.075072,7.2e-05,7.2e-05
14,10.6228,0.91284,1.08508,1.26053,0.19017,0.25,0.14702,0.07793,1.78251,2.54341,2.04568,0.0730775,7.749e-05,7.749e-05
15,11.3173,0.97561,1.18102,1.33363,0.19017,0.25,0.14702,0.07793,1.78251,2.54341,2.04568,0.0710829,8.294e-05,8.294e-05
16,12.0238,1.09945,1.21132,1.36753,0.19276,0.3125,0.25824,0.1392,1.70523,2.39553,1.97272,0.0690884,8.835e-05,8.835e-05
17,12.7381,1.14039,1.30287,1.45821,0.17112,0.375,0.20488,0.11732,1.63351,2.2968,1.87913,0.0670937,9.372e-05,9.372e-05
18,13.4448,0.83264,1.01533,1.18563,0.17112,0.375,0.20488,0.11732,1.63351,2.2968,1.87913,0.0650991,9.905e-05,9.905e-05
19,14.1593,1.03856,1.05827,1.34845,0.20742,0.5625,0.2668,0.17854,1.42073,2.04231,1.65591,0.0631043,0.00010434,0.00010434
20,14.8689,0.74667,0.83058,1.17355,0.20742,0.5625,0.2668,0.17854,1.42073,2.04231,1.65591,0.0611096,0.00010959,0.00010959
21,15.5745,0.87344,1.10627,1.19834,0.3084,0.5625,0.37439,0.28445,1.10898,1.8121,1.38904,0.0591148,0.0001148,0.0001148
22,16.3414,0.93497,0.93733,1.2186,0.3084,0.5625,0.37439,0.28445,1.10898,1.8121,1.38904,0.05712,0.00011997,0.00011997
23,17.1276,0.66606,0.80331,1.08404,0.4951,0.625,0.57363,0.45291,0.92192,1.53852,1.26334,0.0551251,0.0001251,0.0001251
24,17.8861,0.64703,0.80974,1.06954,0.4951,0.625,0.57363,0.45291,0.92192,1.53852,1.26334,0.0531302,0.00013019,0.00013019
25,18.6702,0.70059,0.70179,1.18219,0.90611,0.60452,0.77174,0.63946,0.76668,1.1579,1.16004,0.0511352,0.00013524,0.00013524
26,19.439,0.70503,0.71277,1.06146,0.90611,0.60452,0.77174,0.63946,0.76668,1.1579,1.16004,0.0491403,0.00014025,0.00014025
27,20.1844,0.73972,0.85088,1.05637,0.90611,0.60452,0.77174,0.63946,0.76668,1.1579,1.16004,0.0471452,0.00014522,0.00014522
28,20.9538,0.80133,0.75329,1.03719,1,0.74687,0.84494,0.75525,0.59745,0.85517,1.04189,0.0451501,0.00015015,0.00015015
29,21.9448,0.83083,0.94155,1.18356,1,0.74687,0.84494,0.75525,0.59745,0.85517,1.04189,0.043155,0.00015504,0.00015504
30,22.7168,0.6407,0.66824,1.07183,0.99484,0.75,0.89659,0.76689,0.60252,0.78428,1.04807,0.0411599,0.00015989,0.00015989
31,23.4859,0.67619,0.60208,1.125,0.99484,0.75,0.89659,0.76689,0.60252,0.78428,1.04807,0.0391647,0.0001647,0.0001647
32,24.2471,0.74678,0.69186,1.13954,0.99484,0.75,0.89659,0.76689,0.60252,0.78428,1.04807,0.0371695,0.00016947,0.00016947
33,25.0164,0.76502,0.93941,1.11918,1,0.8674,0.95478,0.84119,0.5323,0.64104,0.99804,0.0351742,0.0001742,0.0001742
34,25.783,0.68448,0.69806,1.0798,1,0.8674,0.95478,0.84119,0.5323,0.64104,0.99804,0.0331789,0.00017889,0.00017889
35,26.5521,0.64751,0.79689,1.09513,1,0.8674,0.95478,0.84119,0.5323,0.64104,0.99804,0.0311835,0.00018354,0.00018354
36,27.3147,0.75983,0.66522,1.2624,1,0.87414,0.97366,0.87805,0.42329,0.48215,0.92612,0.0291881,0.00018815,0.00018815
37,28.0693,0.50562,0.65765,1.03002,1,0.87414,0.97366,0.87805,0.42329,0.48215,0.92612,0.0271927,0.00019272,0.00019272
38,28.8254,0.59499,0.60479,1.02753,1,0.87414,0.97366,0.87805,0.42329,0.48215,0.92612,0.0251973,0.00019725,0.00019725
39,29.6069,0.64474,0.6337,1.06555,1,0.98849,0.995,0.89997,0.43454,0.41484,0.95066,0.0232017,0.00020174,0.00020174
40,30.3763,0.68523,0.6788,1.14804,1,0.98849,0.995,0.89997,0.43454,0.41484,0.95066,0.0212062,0.00020619,0.00020619
41,31.1363,0.62311,0.56299,1.0587,1,0.98849,0.995,0.89997,0.43454,0.41484,0.95066,0.0192106,0.0002106,0.0002106
42,31.895,0.49131,0.59974,1.01959,0.99494,1,0.995,0.90261,0.42806,0.45486,0.9436,0.017215,0.00021497,0.00021497
43,32.6664,0.60646,0.54438,1.05187,0.99494,1,0.995,0.90261,0.42806,0.45486,0.9436,0.0152193,0.0002193,0.0002193
44,33.4251,0.61504,0.57501,1.04087,0.99494,1,0.995,0.90261,0.42806,0.45486,0.9436,0.0132236,0.00022359,0.00022359
45,34.1762,0.66854,0.84854,1.15123,0.99494,1,0.995,0.90261,0.42806,0.45486,0.9436,0.0112278,0.00022784,0.00022784
46,34.959,0.66912,0.51501,1.12371,0.9956,1,0.995,0.90796,0.44387,0.42327,0.94688,0.00923205,0.00023205,0.00023205
47,35.7018,0.58591,0.5385,0.99592,0.9956,1,0.995,0.90796,0.44387,0.42327,0.94688,0.00723622,0.00023622,0.00023622
48,36.4424,0.60214,0.71525,0.94037,0.9956,1,0.995,0.90796,0.44387,0.42327,0.94688,0.00524035,0.00024035,0.00024035
49,37.2035,0.5493,0.51489,0.978,0.9956,1,0.995,0.90796,0.44387,0.42327,0.94688,0.00324444,0.00024444,0.00024444
50,37.967,0.41875,0.46428,0.95376,0.99519,1,0.995,0.92924,0.37768,0.38059,0.88037,0.00124849,0.00024849,0.00024849
51,38.7055,0.67764,0.54213,1.06194,0.99519,1,0.995,0.92924,0.37768,0.38059,0.88037,0.00025,0.00025,0.00025
52,39.4479,0.52219,0.47194,1.00083,0.99519,1,0.995,0.92924,0.37768,0.38059,0.88037,0.000249,0.000249,0.000249
53,40.2016,0.43174,0.4434,0.9461,0.99519,1,0.995,0.92924,0.37768,0.38059,0.88037,0.000248,0.000248,0.000248
54,40.9646,0.46239,0.48781,0.90614,0.9386,1,0.98029,0.91095,0.37848,0.39143,0.8757,0.000247,0.000247,0.000247
55,41.6656,0.47948,0.43491,0.93145,0.9386,1,0.98029,0.91095,0.37848,0.39143,0.8757,0.000246,0.000246,0.000246
56,42.3637,0.56305,0.54798,1.00721,0.9386,1,0.98029,0.91095,0.37848,0.39143,0.8757,0.000245,0.000245,0.000245
57,43.0591,0.47224,0.47136,1.02059,0.9386,1,0.98029,0.91095,0.37848,0.39143,0.8757,0.000244,0.000244,0.000244
58,43.7602,0.63171,0.5037,1.0618,0.93674,1,0.98029,0.88447,0.39628,0.40968,0.87196,0.000243,0.000243,0.000243
59,44.45,0.40927,0.40937,0.9154,0.93674,1,0.98029,0.88447,0.39628,0.40968,0.87196,0.000242,0.000242,0.000242
60,45.1341,0.54807,0.48401,1.09486,0.93674,1,0.98029,0.88447,0.39628,0.40968,0.87196,0.000241,0.000241,0.000241
61,45.823,0.53535,0.54382,0.99102,0.93674,1,0.98029,0.88447,0.39628,0.40968,0.87196,0.00024,0.00024,0.00024
62,46.5143,0.41886,0.41354,0.94085,0.93849,1,0.97676,0.89279,0.37672,0.40202,0.86505,0.000239,0.000239,0.000239
63,47.2066,0.51239,0.56083,0.9692,0.93849,1,0.97676,0.89279,0.37672,0.40202,0.86505,0.000238,0.000238,0.000238
64,47.9198,0.55414,0.37242,0.9287,0.93849,1,0.97676,0.89279,0.37672,0.40202,0.86505,0.000237,0.000237,0.000237
65,48.6107,0.47727,0.46046,0.94918,0.93849,1,0.97676,0.89279,0.37672,0.40202,0.86505,0.000236,0.000236,0.000236
66,49.3094,0.61429,0.57069,1.00723,0.93833,1,0.98441,0.92729,0.35846,0.35843,0.86796,0.000235,0.000235,0.000235
67,50.0019,0.49356,0.41741,0.95649,0.93833,1,0.98441,0.92729,0.35846,0.35843,0.86796,0.000234,0.000234,0.000234
68,50.6927,0.44844,0.36571,0.92215,0.93833,1,0.98441,0.92729,0.35846,0.35843,0.86796,0.000233,0.000233,0.000233
69,51.3854,0.48046,0.44091,0.95389,0.93833,1,0.98441,0.92729,0.35846,0.35843,0.86796,0.000232,0.000232,0.000232
70,52.0851,0.56413,0.42854,0.98212,0.95191,1,0.995,0.93979,0.34142,0.30398,0.86487,0.000231,0.000231,0.000231
71,52.8223,0.42113,0.38803,0.95349,0.95191,1,0.995,0.93979,0.34142,0.30398,0.86487,0.00023,0.00023,0.00023
72,53.5759,0.55978,0.46916,0.95101,0.95191,1,0.995,0.93979,0.34142,0.30398,0.86487,0.000229,0.000229,0.000229
73,54.3293,0.54598,0.50308,1.0884,0.95191,1,0.995,0.93979,0.34142,0.30398,0.86487,0.000228,0.000228,0.000228
74,55.0951,0.52408,0.46216,1.04393,0.98234,1,0.995,0.95017,0.33645,0.2956,0.86019,0.000227,0.000227,0.000227
75,55.8405,0.44746,0.60823,0.99318,0.98234,1,0.995,0.95017,0.33645,0.2956,0.86019,0.000226,0.000226,0.000226
76,56.5886,0.51193,0.48504,0.94319,0.98234,1,0.995,0.95017,0.33645,0.2956,0.86019,0.000225,0.000225,0.000225
77,57.3443,0.55526,0.53975,0.98366,0.98234,1,0.995,0.95017,0.33645,0.2956,0.86019,0.000224,0.000224,0.000224
78,58.1,0.54505,0.48038,0.97899,0.99591,1,0.995,0.92794,0.32498,0.29639,0.85374,0.000223,0.000223,0.000223
79,58.7947,0.57882,0.45775,0.97185,0.99591,1,0.995,0.92794,0.32498,0.29639,0.85374,0.000222,0.000222,0.000222
80,59.4882,0.52026,0.46529,1.01162,0.99591,1,0.995,0.92794,0.32498,0.29639,0.85374,0.000221,0.000221,0.000221
81,60.1672,0.4939,0.37995,1.03826,0.99591,1,0.995,0.92794,0.32498,0.29639,0.85374,0.00022,0.00022,0.00022
82,60.8692,0.44334,0.40389,0.99086,0.99615,1,0.995,0.95015,0.31726,0.2841,0.8504,0.000219,0.000219,0.000219
83,61.5609,0.49458,0.45375,0.94632,0.99615,1,0.995,0.95015,0.31726,0.2841,0.8504,0.000218,0.000218,0.000218
84,62.2462,0.44744,0.48849,0.93928,0.99615,1,0.995,0.95015,0.31726,0.2841,0.8504,0.000217,0.000217,0.000217
85,62.9451,0.52333,0.39065,1.01356,0.99615,1,0.995,0.95015,0.31726,0.2841,0.8504,0.000216,0.000216,0.000216
