epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.99581,1.19388,4.65351,1.45209,0.15102,0.27273,0.08126,0.0292,1.35055,7.47999,1.73902,0.099003,3e-06,3e-06
2,1.60529,1.04852,4.46852,1.577,0.12573,0.36364,0.08475,0.02818,1.38692,7.42279,1.77671,0.097009,8.97e-06,8.97e-06
3,2.21556,1.33701,4.8453,1.63462,0.34835,0.27273,0.11992,0.04508,1.43659,5.00979,2.01568,0.0950149,1.49e-05,1.49e-05
4,3.0242,1.32034,2.64767,1.64191,0.21124,0.45455,0.16702,0.09138,1.28484,3.55706,1.70316,0.0930208,2.079e-05,2.079e-05
5,3.81895,1.20695,2.69452,1.3185,0.08844,0.18182,0.06575,0.04289,1.47871,4.3465,1.95195,0.0910266,2.664e-05,2.664e-05
6,4.55989,0.80593,1.87147,1.34636,0.07308,0.36364,0.04232,0.01935,1.57887,4.47712,1.89886,0.0890325,3.245e-05,3.245e-05
7,5.29327,0.81186,1.73142,1.35249,0.10414,0.18182,0.07333,0.03424,1.59602,4.37992,1.86671,0.0870382,3.822e-05,3.822e-05
8,6.05086,1.21307,2.1087,1.38866,0.0895,0.27273,0.08159,0.04251,1.47165,3.88751,1.70044,0.085044,4.395e-05,4.395e-05
9,6.79993,1.28679,2.04948,1.36754,0.27743,0.18182,0.12226,0.08779,1.42105,3.54405,1.73979,0.0830496,4.964e-05,4.964e-05
10,7.54635,1.14751,2.52864,1.58345,0.76709,0.09091,0.16504,0.12188,1.54529,3.13567,1.94883,0.0810553,5.529e-05,5.529e-05
11,8.36848,1.20041,1.6106,1.37648,0.79091,0.09091,0.19374,0.12553,1.56949,2.71916,2.0605,0.0790609,6.09e-05,6.09e-05
12,9.15948,1.03477,1.44802,1.34902,0.79091,0.09091,0.19374,0.12553,1.56949,2.71916,2.0605,0.0770665,6.647e-05,6.647e-05
13,9.95914,1.06319,1.55552,1.6196,0.39986,0.24532,0.25196,0.1538,1.6159,2.51427,2.12761,0.075072,7.2e-05,7.2e-05
14,10.7662,1.23237,1.5215,1.49687,0.1103,0.27273,0.10555,0.05306,1.65757,2.72828,2.04532,0.0730775,7.749e-05,7.749e-05
15,11.5077,1.13136,1.43948,1.37578,0.1103,0.27273,0.10555,0.05306,1.65757,2.72828,2.04532,0.0710829,8.294e-05,8.294e-05
16,12.2464,1.23289,1.28742,1.52973,0.18616,0.45455,0.14469,0.06359,1.54,2.86015,1.95653,0.0690884,8.835e-05,8.835e-05
17,12.9969,0.94147,1.11121,1.32583,0.33241,0.27273,0.20265,0.09131,1.54773,2.62621,1.93888,0.0670937,9.372e-05,9.372e-05
18,13.7308,0.99346,1.02409,1.2955,0.33241,0.27273,0.20265,0.09131,1.54773,2.62621,1.93888,0.0650991,9.905e-05,9.905e-05
19,14.4775,0.92835,1.29524,1.28755,0.91429,0.27273,0.38796,0.21786,1.39742,2.45519,1.79806,0.0631043,0.00010434,0.00010434
20,15.2625,1.03202,1.80312,1.56166,0.91429,0.27273,0.38796,0.21786,1.39742,2.45519,1.79806,0.0611096,0.00010959,0.00010959
21,16.0702,1.00285,1.20996,1.25201,0.90912,0.27273,0.37591,0.1974,1.21508,2.40282,1.67576,0.0591148,0.0001148,0.0001148
22,16.8122,0.98201,1.18716,1.24422,0.90912,0.27273,0.37591,0.1974,1.21508,2.40282,1.67576,0.05712,0.00011997,0.00011997
23,17.5381,0.90222,1.02531,1.21522,0.48897,0.45455,0.44068,0.26067,1.33088,2.23539,1.61796,0.0551251,0.0001251,0.0001251
24,18.3244,0.96008,1.05824,1.43811,0.48897,0.45455,0.44068,0.26067,1.33088,2.23539,1.61796,0.0531302,0.00013019,0.00013019
25,19.1402,0.87362,1.15347,1.11821,0.82989,0.44514,0.56605,0.35823,1.30213,1.91602,1.62936,0.0511352,0.00013524,0.00013524
26,19.9324,0.79878,1.51224,1.37451,0.82989,0.44514,0.56605,0.35823,1.30213,1.91602,1.62936,0.0491403,0.00014025,0.00014025
27,20.842,0.75239,0.94392,1.1477,0.82989,0.44514,0.56605,0.35823,1.30213,1.91602,1.62936,0.0471452,0.00014522,0.00014522
28,21.661,0.71982,0.79509,1.15036,0.66911,0.81818,0.7517,0.47743,1.285,1.39025,1.6171,0.0451501,0.00015015,0.00015015
29,22.4663,0.80545,1.09221,1.36784,0.66911,0.81818,0.7517,0.47743,1.285,1.39025,1.6171,0.043155,0.00015504,0.00015504
30,23.2756,0.54039,1.20345,1.0444,0.96215,0.81818,0.89005,0.61825,1.06034,1.20145,1.36227,0.0411599,0.00015989,0.00015989
31,24.0777,0.64714,1.0142,1.10309,0.96215,0.81818,0.89005,0.61825,1.06034,1.20145,1.36227,0.0391647,0.0001647,0.0001647
32,24.8768,0.62003,0.8834,1.0144,0.96215,0.81818,0.89005,0.61825,1.06034,1.20145,1.36227,0.0371695,0.00016947,0.00016947
33,25.7146,0.98922,1.02485,1.32996,0.97853,0.90909,0.92441,0.69645,0.80582,1.03795,1.15584,0.0351742,0.0001742,0.0001742
34,26.7124,0.65219,0.80825,1.00785,0.97853,0.90909,0.92441,0.69645,0.80582,1.03795,1.15584,0.0331789,0.00017889,0.00017889
35,27.5574,0.46458,0.68361,0.97523,0.97853,0.90909,0.92441,0.69645,0.80582,1.03795,1.15584,0.0311835,0.00018354,0.00018354
