epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.20325,1.07499,3.23246,1.50993,0.24853,0.25,0.14718,0.08158,1.41442,5.95499,1.91084,0.0991,0.0001,0.0001
2,1.76792,1.3775,4.22594,1.62915,0.24971,0.25,0.14687,0.08147,1.40567,5.98307,1.88959,0.097299,0.00029901,0.00029901
3,2.32612,1.12219,3.42368,1.45573,0.27533,0.25,0.1603,0.08628,1.42,5.83179,1.88578,0.0954967,0.0004967,0.0004967
4,2.98502,1.3471,2.88938,1.65802,0.33267,0.25,0.16538,0.09468,1.33525,5.31547,1.82508,0.0936931,0.00069307,0.00069307
5,3.63174,1.21172,2.88479,1.61882,0.37481,0.25,0.16436,0.09598,1.3175,4.80391,1.81782,0.0918881,0.00088812,0.00088812
6,4.30338,1.25447,2.70802,1.58939,0.36318,0.3125,0.20007,0.11314,1.26498,4.16987,1.77998,0.0900819,0.00108185,0.00108185
7,4.9643,1.05704,2.39197,1.4581,0.44269,0.3125,0.27288,0.1653,1.23016,3.65683,1.73593,0.0882743,0.00127426,0.00127426
8,5.62935,1.28302,2.44415,1.61305,0.42804,0.32834,0.33313,0.20296,1.10269,2.9578,1.60799,0.0864654,0.00146535,0.00146535
9,6.30381,1.28251,2.0154,1.76275,0.34905,0.5,0.42627,0.27956,1.035,2.55171,1.53364,0.0846551,0.00165512,0.00165512
10,6.96667,1.14938,1.92778,1.53687,0.4655,0.625,0.49585,0.35315,0.94169,2.19162,1.42777,0.0828436,0.00184357,0.00184357
11,7.62917,0.87268,1.74838,1.29368,0.52411,0.5625,0.5819,0.42889,0.88549,1.79543,1.31473,0.0810307,0.0020307,0.0020307
12,8.27891,1.016,1.60084,1.4981,0.52411,0.5625,0.5819,0.42889,0.88549,1.79543,1.31473,0.0792165,0.00221651,0.00221651
