epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.4967,1.53542,1.97681,1.72558,0.56,0.63454,0.57989,0.28041,1.66732,2.34472,1.93266,0.000665579,0.000665579,0.000665579
2,103.687,1.72536,1.92142,1.86938,0.64702,0.5502,0.59568,0.30745,1.62943,1.82473,1.83309,0.0012663,0.0012663,0.0012663
3,155.069,1.69261,1.8426,1.84022,0.7244,0.58057,0.62865,0.35516,1.62946,1.53217,1.87363,0.00180102,0.00180102,0.00180102
4,207.019,1.63922,1.79986,1.8009,0.67452,0.59924,0.65775,0.3075,1.78142,1.57895,1.9832,0.001703,0.001703,0.001703
5,257.233,1.56986,1.63727,1.74374,0.68605,0.77228,0.78958,0.45592,1.4347,1.28472,1.67904,0.001604,0.001604,0.001604
6,309.158,1.49852,1.49534,1.68212,0.8178,0.79313,0.84321,0.49753,1.36707,1.12181,1.65404,0.001505,0.001505,0.001505
7,360.737,1.4308,1.40383,1.617,0.8185,0.79687,0.87015,0.51917,1.35272,1.03134,1.61301,0.001406,0.001406,0.001406
8,412.241,1.41075,1.35417,1.6176,0.79762,0.79518,0.8535,0.51384,1.30844,1.06743,1.58323,0.001307,0.001307,0.001307
9,462.443,1.34576,1.26801,1.56018,0.80645,0.81993,0.84895,0.56948,1.18094,0.94936,1.48029,0.001208,0.001208,0.001208
10,513.641,1.2942,1.20072,1.52929,0.84578,0.81492,0.87174,0.60021,1.12475,0.88779,1.44221,0.001109,0.001109,0.001109
11,565.259,1.24645,0.99222,1.53138,0.92306,0.7992,0.89529,0.6057,1.14345,0.86455,1.44892,0.00101,0.00101,0.00101
12,616.481,1.1989,0.89679,1.48572,0.91707,0.81526,0.89203,0.60793,1.15711,0.83708,1.4701,0.000911,0.000911,0.000911
13,667.321,1.16471,0.83032,1.46143,0.90942,0.84674,0.91598,0.634,1.11457,0.77331,1.40537,0.000812,0.000812,0.000812
14,719.155,1.09852,0.77735,1.41857,0.92606,0.85508,0.93659,0.64331,1.13091,0.69901,1.43399,0.000713,0.000713,0.000713
15,770.709,1.0576,0.71261,1.36844,0.9237,0.82653,0.9283,0.65672,1.10205,0.73128,1.43504,0.000614,0.000614,0.000614
16,822.972,1.01153,0.67941,1.34376,0.90774,0.88755,0.94297,0.65923,1.11594,0.68887,1.4175,0.000515,0.000515,0.000515
17,874.918,0.96666,0.63461,1.29214,0.88641,0.88755,0.93693,0.66438,1.07903,0.67595,1.39588,0.000416,0.000416,0.000416
18,926.916,0.94154,0.59574,1.27682,0.9164,0.87149,0.93972,0.69326,1.00206,0.62214,1.32688,0.000317,0.000317,0.000317
19,979.227,0.88842,0.55357,1.23516,0.94915,0.89949,0.96261,0.70884,0.98191,0.58157,1.33839,0.000218,0.000218,0.000218
20,1031.69,0.85546,0.53014,1.21649,0.9062,0.93173,0.9629,0.70656,0.99469,0.58479,1.34588,0.000119,0.000119,0.000119
