epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.4987,1.35137,3.88845,1.61223,0.01151,0.88679,0.10136,0.05861,1.01853,4.53856,1.48126,6.666e-05,6.666e-05,6.666e-05
2,81.4642,1.08118,3.40654,1.45229,0.02729,0.93396,0.29048,0.19767,0.9337,4.22058,1.30921,0.000137281,0.000137281,0.000137281
3,120.15,1.12314,2.65666,1.46587,0.02197,0.9434,0.35684,0.22986,0.96152,3.94142,1.33032,0.000200202,0.000200202,0.000200202
4,161.936,1.16406,2.40059,1.45275,0.93188,0.11977,0.33762,0.22768,0.98278,3.70542,1.34931,0.000255424,0.000255424,0.000255424
5,204.422,1.19037,2.22487,1.52092,0.91606,0.17925,0.35903,0.20856,1.10459,3.66808,1.38987,0.000302947,0.000302947,0.000302947
6,246.724,1.05578,2.14918,1.43491,0.85963,0.33019,0.36038,0.21255,1.16458,3.45819,1.41792,0.000342771,0.000342771,0.000342771
7,288.41,1.06618,2.04184,1.39748,0.84345,0.35187,0.37928,0.2446,1.17533,2.93989,1.5216,0.000374896,0.000374896,0.000374896
8,329.43,1.02288,1.83714,1.33568,0.83126,0.34906,0.3447,0.22763,1.09308,2.91393,1.4473,0.000399321,0.000399321,0.000399321
9,370.311,0.97451,1.79854,1.30491,0.84573,0.38059,0.39863,0.27172,1.1475,2.78129,1.38809,0.000416047,0.000416047,0.000416047
10,412.461,0.98968,1.86553,1.35962,0.88813,0.37736,0.40499,0.26294,1.21673,2.82774,1.42564,0.000425074,0.000425074,0.000425074
11,455.19,0.99656,2.29084,1.34547,0.84477,0.29335,0.36454,0.19244,1.4669,3.22055,1.69018,0.000426402,0.000426402,0.000426402
12,497.186,0.86714,2.13906,1.26596,0.89189,0.20524,0.30067,0.1711,1.38093,3.51385,1.69453,0.00042003,0.00042003,0.00042003
13,543.181,0.85761,1.93302,1.24978,0.86931,0.29327,0.33977,0.18796,1.39562,3.34404,1.67286,0.000405959,0.000405959,0.000405959
14,587.268,0.83468,1.89658,1.25643,0.82343,0.34906,0.34998,0.20029,1.30127,3.05716,1.63417,0.000384189,0.000384189,0.000384189
15,630.463,0.80551,1.82999,1.20546,0.84069,0.36792,0.36556,0.22781,1.27081,2.8872,1.60408,0.000341077,0.000341077,0.000341077
16,675.625,0.83795,1.95162,1.26518,0.92222,0.39623,0.415,0.25773,1.23103,2.75927,1.50203,0.000286083,0.000286083,0.000286083
17,719.844,0.89596,1.81016,1.23234,0.94225,0.36129,0.41415,0.26217,1.21002,2.73508,1.48953,0.000231088,0.000231088,0.000231088
18,764.125,0.77982,1.68515,1.14433,0.9578,0.36792,0.41164,0.26459,1.21766,2.65287,1.48773,0.000176094,0.000176094,0.000176094
19,807.652,0.78969,1.73171,1.13653,0.90914,0.42484,0.44084,0.29205,1.14923,2.50775,1.38308,0.000121099,0.000121099,0.000121099
20,850.872,0.77132,1.7155,1.21044,0.90565,0.4434,0.45278,0.3026,1.12344,2.37949,1.37611,6.61045e-05,6.61045e-05,6.61045e-05
